iter	Passed	Remaining
0	114	11306
1	123	6072
2	132	4298
3	141	3404
4	151	2886
5	162	2540
6	169	2255
7	176	2032
8	184	1862
9	190	1715
10	196	1589
11	200	1471
12	204	1371
13	209	1287
14	213	1211
15	217	1142
16	221	1081
17	224	1023
18	227	971
19	231	925
20	234	882
21	238	844
22	241	807
23	244	772
24	247	742
25	250	713
26	254	687
27	257	662
28	261	639
29	264	617
30	267	596
31	271	577
32	274	558
33	278	539
34	281	522
35	284	505
36	288	491
37	291	476
38	294	460
39	297	446
40	301	434
41	305	421
42	308	408
43	311	396
44	315	385
45	319	374
46	322	363
47	325	352
48	329	343
49	334	334
50	337	324
51	342	315
52	346	307
53	350	298
54	354	290
55	358	281
56	362	273
57	366	265
58	370	257
59	373	249
60	377	241
61	381	233
62	385	226
63	389	218
64	393	211
65	396	204
66	400	197
67	404	190
68	408	183
69	411	176
70	415	169
71	419	162
72	422	156
73	426	149
74	429	143
75	433	136
76	437	130
77	440	124
78	444	118
79	448	112
80	452	106
81	456	100
82	460	94
83	464	88
84	469	82
85	473	77
86	476	71
87	480	65
88	484	59
89	488	54
90	491	48
91	495	43
92	499	37
93	503	32
94	506	26
95	510	21
96	514	15
97	518	10
98	521	5
99	525	0
