price,sqft,propertytype,bhk,location
37.49,872,Flat,2,Sembakkam
93.54,1346,Flat,3,Selaiyur
151,2225,Flat,3,Mogappair
49,1028,Flat,2,Ambattur
42.28,588,Flat,2,Pallavaram
188,2221,Flat,3,Virugambakkam
38,885,Flat,3,Thirumazhisai
72.99,936,Flat,3,Moolakadai
125,2275,Flat,4,Ottiyambakkam
24.56,622,Flat,2,Perungalathur
67.87,1305,Flat,3,Gerugambakkam
240,1500,Flat,3,Anna Nagar
407,2200,Flat,3,Gopalapuram
51.46,919,Flat,2,Pammal
69.47,965,Flat,2,Porur
113,2343,Flat,4,Navallur
18,353,Flat,1,Thirumazhisai
224,1450,Flat,3,Anna Nagar
100,1833,Flat,3,Sholinganallur
45.99,920,Flat,2,Vanagaram
73.75,1405,Flat,3,Sholinganallur
455,2601,Flat,4,T Nagar
391,2475,Villa,4,Guindy
80.73,1242,Flat,2,Madipakkam
31.96,969,Flat,2,Perumbakkam
81.3,937,Flat,2,Velachery
72.05,1310,Flat,3,Medavakkam
91.36,1340,Flat,3,Gowrivakkam
50.76,1045,Flat,2,Chromepet
62.75,1004,Flat,2,Sholinganallur
57.5,920,Villa,2,Ambattur
50.22,1005,Flat,2,Thalambur
22.36,713,Flat,2,Thandalam
19.8,900,Flat,2,Thirumazhisai
84.13,1325,Flat,2,Medavakkam
58.43,1113,Flat,2,Ayanambakkam
330,3670,Flat,3,Kanathur Reddikuppam
80.32,1208,Flat,2,Madipakkam
290,1600,Flat,3,Adyar
40.02,870,Flat,2,Kolapakkam
42.07,1275,Flat,3,Thaiyur
48.61,884,Flat,2,Thoraipakkam OMR
49.12,1092,Flat,2,Poonamallee
42.28,588,Flat,2,Pallavaram
50.21,1152,Flat,2,Padur
40.75,910,Flat,2,Perumbakkam
261,1548,Flat,3,Adyar
47.04,920,Flat,2,Perumbakkam
45.79,669,Flat,2,East Tambaram
33.77,866,Flat,2,Chromepet
65.69,1381,Flat,3,Tiruvottiyur
118,1740,Flat,3,Iyappanthangal
50.31,1450,Flat,3,Padappai
78.71,1212,Flat,2,Porur
29.62,528,Flat,2,Pammal
88.27,1605,Flat,3,Mugalivakkam
43.44,932,Flat,2,Pammal
33.05,1002,Flat,2,Kelambakkam
29.56,768,Flat,2,Thirumullaivoyal
88.39,1637,Flat,3,Poonamallee
658,6103,Flat,4,Sholinganallur
33.23,773,Flat,2,Sembakkam
84.79,1220,Flat,3,Selaiyur
134,1974,Flat,3,Mogappair
67,1195,Flat,3,Ambattur
71.08,1021,Flat,2,Pallavaram
188,2221,Flat,3,Virugambakkam
31,730,Flat,2,Thirumazhisai
83.03,1101,Flat,3,Moolakadai
146,2669,Flat,4,Ottiyambakkam
20.14,510,Flat,1,Perungalathur
76.2,1480,Flat,3,Gerugambakkam
240,1500,Flat,3,Anna Nagar
51.46,919,Flat,2,Pammal
66.44,923,Flat,2,Porur
112,2323,Flat,4,Navallur
29,544,Flat,1,Thirumazhisai
158,1025,Flat,2,Anna Nagar
108,1972,Flat,3,Sholinganallur
45.99,920,Flat,2,Vanagaram
73.99,1410,Flat,3,Sholinganallur
644,3681,Flat,4,T Nagar
593,3750,Flat,5,Guindy
89.7,1380,Flat,3,Madipakkam
39.75,1205,Villa,3,Perumbakkam
81.7,942,Flat,2,Velachery
51.64,939,Flat,2,Medavakkam
64.34,945,Flat,2,Gowrivakkam
37.4,770,Flat,2,Chromepet
62.75,1004,Flat,2,Sholinganallur
89.37,1430,Flat,3,Ambattur
64.82,1297,Flat,3,Thalambur
20.88,663,Flat,2,Thandalam
19.8,900,Flat,2,Thirumazhisai
84.13,1325,Flat,2,Medavakkam
54.96,1047,Flat,2,Ayanambakkam
440,4896,Flat,4,Kanathur Reddikuppam
96.32,1481,Flat,3,Madipakkam
242,1565,Flat,3,Anna Nagar
48.53,1055,Flat,2,Kolapakkam
79.92,1150,Flat,2,Selaiyur
71.65,1031,Flat,2,Selaiyur
58.48,951,Flat,2,Chromepet
64.82,1054,Flat,2,Chromepet
84.87,1380,Flat,3,Chromepet
72.81,1184,Flat,2,Chromepet
76.75,1248,Flat,2,Chromepet
59.65,970,Flat,2,Chromepet
88.19,1434,Flat,3,Chromepet
22.27,518,Flat,1,Sembakkam
42.91,998,Flat,2,Sembakkam
50.21,844,Flat,2,Mugalivakkam
55.39,931,Flat,2,Mugalivakkam
71.28,1004,Flat,2,East Tambaram
72.42,1020,Flat,2,East Tambaram
94,1324,Flat,3,East Tambaram
86.9,1224,Flat,3,East Tambaram
77.81,1096,Villa,2,East Tambaram
94.78,1335,Flat,3,East Tambaram
73.48,1035,Flat,2,East Tambaram
114,1572,Flat,3,Selaiyur
119,1643,Flat,3,Selaiyur
118,1625,Flat,3,Selaiyur
159,2295,Flat,4,Selaiyur
101,1760,Flat,3,Selaiyur
175,2544,Flat,4,Selaiyur
115,1630,Flat,3,Selaiyur
121,1671,Flat,3,Selaiyur
122,1735,Flat,3,Selaiyur
152,2183,Flat,4,Selaiyur
160,2242,Flat,4,Selaiyur
134,1852,Flat,3,Selaiyur
129,1797,Flat,3,Selaiyur
165,2433,Flat,4,Mogappair
169,2495,Flat,4,Mogappair
327,4450,Flat,5,Mogappair
133,1962,Flat,3,Mogappair
64.17,1310,Flat,3,Madhavaram
76.47,1561,Flat,3,Madhavaram
81.71,1668,Flat,3,Madhavaram
51.58,1053,Flat,2,Madhavaram
48.59,992,House,2,Madhavaram
63.34,1293,Flat,3,Madhavaram
76.47,1561,Flat,3,Madhavaram
63.83,1303,Villa,3,Madhavaram
57.41,1172,Flat,2,Madhavaram
48.74,995,Flat,2,Madhavaram
62.31,1272,Flat,3,Madhavaram
82,1674,Flat,3,Madhavaram
62.7,1280,Villa,3,Madhavaram
74.56,1522,Flat,3,Madhavaram
94.51,1400,Villa,3,Pallavaram
64.17,1310,Flat,3,Madhavaram
69.66,1422,Flat,3,Madhavaram
48.69,994,Flat,2,Madhavaram
73.82,1085,Flat,2,Pallavaram
40.09,853,Flat,2,Kundrathur
38.49,819,Flat,2,Kundrathur
38.77,825,Flat,2,Kundrathur
38.72,824,Flat,2,Kundrathur
69.66,1422,House,3,Madhavaram
48.69,994,House,2,Madhavaram
48.59,992,Flat,2,Madhavaram
63.34,1293,House,3,Madhavaram
63.83,1303,Flat,3,Madhavaram
57.41,1172,Flat,2,Madhavaram
48.74,995,Flat,2,Madhavaram
62.31,1272,Flat,3,Madhavaram
62.7,1280,Flat,3,Madhavaram
63,1286,Flat,3,Madhavaram
49.43,1009,Villa,2,Madhavaram
80.37,1576,Flat,3,Kundrathur
78.89,1547,Flat,3,Kundrathur
80.68,1582,Flat,3,Kundrathur
70.89,1390,Flat,3,Kundrathur
74.15,1454,Flat,3,Kundrathur
70.94,1391,Flat,3,Kundrathur
79.66,1562,Flat,3,Kundrathur
188,2221,Flat,3,Virugambakkam
188,2221,Flat,3,Virugambakkam
36,849,Flat,2,Thirumazhisai
57,1240,Flat,2,Perumbakkam
110,2320,Flat,4,Perumbakkam
62.6,1360,Flat,3,Perumbakkam
90.29,1962,Flat,3,Perumbakkam
138,2211,Villa,4,Mogappair
97.57,1668,Flat,3,Mogappair
85.99,1470,Villa,3,Mogappair
83.86,1342,Flat,2,Mogappair
121,1947,Flat,3,Mogappair
61.48,1051,Flat,2,Mogappair
115,1849,Flat,3,Mogappair
139,2228,Flat,4,Mogappair
85.17,1363,Flat,2,Mogappair
70.02,1197,Flat,2,Mogappair
47.3,1113,Flat,2,Mogappair
69.53,1636,Flat,3,Mogappair
51.38,1209,Flat,2,Mogappair
68.55,1613,Flat,3,Mogappair
57.5,1353,Flat,3,Mogappair
70.38,1656,Flat,3,Mogappair
65.02,1530,Flat,3,Mogappair
59.33,1396,Flat,3,Mogappair
65.11,1532,House,3,Mogappair
87.4,1469,Flat,3,Vengaivasal
81.57,1371,Flat,3,Vengaivasal
35.34,594,Flat,2,Vengaivasal
88.29,1484,Flat,3,Vengaivasal
35.16,591,Flat,2,Vengaivasal
35.58,598,Flat,2,Vengaivasal
35.75,601,House,2,Vengaivasal
117,2132,Flat,4,Ottiyambakkam
112,2042,Flat,3,Ottiyambakkam
148,2701,Flat,3,Ottiyambakkam
83.65,1521,Flat,3,Ottiyambakkam
108,1978,Flat,4,Ottiyambakkam
78.15,1421,Flat,3,Ottiyambakkam
79.98,1740,Flat,3,Sholinganallur
79.98,1740,Flat,3,Sholinganallur
94.48,2055,Flat,4,Sholinganallur
94.48,2055,Flat,4,Sholinganallur
68.69,1494,Flat,3,Sholinganallur
68.69,1494,Villa,3,Sholinganallur
24.25,614,Flat,2,Perungalathur
24.41,618,Flat,2,Perungalathur
19.9,504,Flat,1,Perungalathur
53.07,1005,Flat,2,Gerugambakkam
56.64,1069,Villa,2,Gerugambakkam
37.7,903,Flat,2,Perungalathur
44,1054,Flat,2,Perungalathur
40.53,971,Flat,2,Perungalathur
51.01,1222,Flat,3,Perungalathur
33.19,795,Flat,2,Perungalathur
48.26,1156,Flat,2,Perungalathur
36.11,865,House,2,Perungalathur
37.4,896,Flat,2,Perungalathur
39.78,953,Flat,2,Perungalathur
32.81,786,Flat,2,Perungalathur
47.76,1144,Villa,3,Perungalathur
36.9,884,Flat,2,Perungalathur
35.77,857,Flat,2,Perungalathur
32.94,789,Flat,2,Perungalathur
32.73,784,Flat,2,Perungalathur
32.69,783,Flat,2,Perungalathur
47.26,1132,Flat,3,Perungalathur
33.94,813,Flat,2,Perungalathur
107,1948,Flat,3,Kelambakkam
116,2122,House,3,Kelambakkam
117,2134,Flat,3,Kelambakkam
94.98,1727,Flat,3,Kelambakkam
138,2526,Flat,3,Kelambakkam
94.93,1726,Flat,3,Kelambakkam
93.5,1700,Flat,3,Kelambakkam
109,1994,Flat,3,Kelambakkam
240,1500,Flat,3,Anna Nagar
240,1500,Villa,3,Anna Nagar
240,1500,Flat,3,Anna Nagar
66.99,1155,Flat,3,Pammal
49.88,860,Flat,2,Pammal
46.11,795,Flat,2,Pammal
48.88,873,Flat,2,Pammal
74.48,1330,Flat,3,Pammal
74.48,1330,Flat,3,Pammal
63.39,1132,Flat,3,Pammal
63.39,1132,Flat,3,Pammal
72.85,1301,Villa,3,Pammal
72.85,1301,Villa,3,Pammal
66.99,1155,Flat,3,Pammal
46.11,795,Villa,2,Pammal
49.88,860,Flat,2,Pammal
66.99,1155,Flat,3,Pammal
46.11,795,Flat,2,Pammal
66.99,1155,House,3,Pammal
49.88,860,Flat,2,Pammal
46.11,795,House,2,Pammal
67.62,1166,Flat,3,Pammal
49.88,860,Flat,2,Pammal
67.62,1166,Villa,3,Pammal
60.55,1044,House,3,Pammal
60.55,1044,Flat,3,Pammal
42.28,729,Flat,2,Pammal
60.55,1044,Flat,3,Pammal
42.28,729,Flat,2,Pammal
42.28,729,Flat,2,Pammal
77.02,1328,Flat,3,Pammal
77.02,1328,Flat,3,Pammal
57.59,993,Flat,3,Pammal
57.59,993,Flat,3,Pammal
61.88,1067,House,3,Pammal
61.88,1067,House,3,Pammal
47.27,815,House,2,Pammal
47.27,815,Flat,2,Pammal
92.65,1287,House,3,Porur
78.1,1085,House,3,Porur
73.93,1027,House,2,Porur
69.9,971,Villa,2,Porur
69.54,966,House,2,Porur
71.05,1579,House,3,Navallur
115,2388,Flat,4,Navallur
71.01,1578,House,3,Navallur
62.37,1386,House,3,Navallur
70.51,1567,House,3,Navallur
28,561,House,2,Thirumazhisai
16,319,House,1,Thirumazhisai
30,576,House,2,Thirumazhisai
15.36,300,House,1,Thirumazhisai
47.84,957,Flat,2,Vanagaram
47.84,957,House,2,Vanagaram
45.99,920,House,2,Vanagaram
45.99,920,House,2,Vanagaram
47.84,957,Flat,2,Vanagaram
47.84,957,House,2,Vanagaram
45.59,912,House,2,Vanagaram
45.59,912,House,2,Vanagaram
48.79,976,House,2,Vanagaram
48.79,976,House,2,Vanagaram
46.24,925,House,2,Vanagaram
46.24,925,Flat,2,Vanagaram
48.64,885,House,2,Sholinganallur
74.23,1415,House,3,Sholinganallur
48.88,890,House,2,Sholinganallur
47.43,860,House,2,Sholinganallur
46.95,850,House,2,Sholinganallur
47.67,865,Flat,2,Sholinganallur
73.51,1400,House,3,Sholinganallur
138,2525,House,4,Sholinganallur
75.07,1365,House,2,Sholinganallur
68.86,1252,House,2,Sholinganallur
101,1847,House,3,Sholinganallur
74.58,1356,House,2,Sholinganallur
132,2418,House,3,Sholinganallur
64.4,1171,House,2,Sholinganallur
109,1998,House,3,Sholinganallur
77.11,1402,House,2,Sholinganallur
80.19,1458,House,2,Sholinganallur
70.67,1285,House,2,Sholinganallur
141,2580,Villa,4,Sholinganallur
90.91,1653,House,3,Sholinganallur
129,2357,House,3,Sholinganallur
91.3,1660,House,3,Sholinganallur
80.79,1469,House,2,Sholinganallur
